"Year","Location Description","Data Source","Topic Description","Measure Description","Sub-Measure","Data Value Type","Data Value"
"2010","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","30.400"
"2010","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.435"
"2010","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","143144386.000"
"2010","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2009","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.548"
"2009","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","75.600"
"2009","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","31.600"
"2009","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.435"
"2009","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","149746028.000"
"2009","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2008","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.752"
"2008","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","78.000"
"2008","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","21.700"
"2008","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.815"
"2008","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","153461159.000"
"2008","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2007","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.759"
"2007","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","80.200"
"2007","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","21.700"
"2007","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.815"
"2007","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","156820995.000"
"2007","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2006","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.535"
"2006","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","83.300"
"2006","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","23.100"
"2006","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.815"
"2006","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","161434908.000"
"2006","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2005","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.560"
"2005","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","82.400"
"2005","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","22.900"
"2005","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.815"
"2005","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","158457030.000"
"2005","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2004","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.569"
"2004","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","87.900"
"2004","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","22.800"
"2004","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.815"
"2004","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","71463596.000"
"2004","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2003","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.234"
"2003","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","82.200"
"2003","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","17.200"
"2003","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.555"
"2003","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","61161426.000"
"2003","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"2002","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.282"
"2002","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","84.800"
"2002","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","16.900"
"2002","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.555"
"2002","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","62450667.000"
"2002","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"2001","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.230"
"2001","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","90.500"
"2001","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","15.600"
"2001","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.505"
"2001","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","66373279.000"
"2001","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"2000","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","2.884"
"2000","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","96.200"
"2000","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","17.500"
"2000","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.505"
"2000","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","70664938.000"
"2000","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1999","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","2.707"
"1999","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","100.700"
"1999","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","15.000"
"1999","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.405"
"1999","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","71844367.000"
"1999","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1998","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.956"
"1998","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","106.200"
"1998","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","20.700"
"1998","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.405"
"1998","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","74878439.000"
"1998","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1997","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.805"
"1997","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","104.900"
"1997","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","22.400"
"1997","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.405"
"1997","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","73953302.000"
"1997","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1996","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.674"
"1996","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","101.400"
"1996","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","24.200"
"1996","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.405"
"1996","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","70950600.000"
"1996","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1995","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.583"
"1995","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","102.600"
"1995","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","25.600"
"1995","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.405"
"1995","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","70450119.000"
"1995","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1994","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.551"
"1994","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","107.100"
"1994","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","26.100"
"1994","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.405"
"1994","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","72324900.000"
"1994","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1993","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.546"
"1993","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","108.500"
"1993","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","26.200"
"1993","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.405"
"1993","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","72619924.000"
"1993","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1992","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.762"
"1992","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","109.100"
"1992","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","20.700"
"1992","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.365"
"1992","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","73149118.000"
"1992","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1991","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.722"
"1991","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","107.900"
"1991","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","21.200"
"1991","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.365"
"1991","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","73585654.000"
"1991","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1990","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.444"
"1990","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","108.600"
"1990","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","22.500"
"1990","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.325"
"1990","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","74656216.000"
"1990","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1989","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.391"
"1989","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","105.600"
"1989","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","23.400"
"1989","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.325"
"1989","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","74959156.000"
"1989","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1988","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.223"
"1988","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","112.100"
"1988","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","26.600"
"1988","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.325"
"1988","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","76529290.000"
"1988","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1987","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.144"
"1987","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","114.000"
"1987","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","28.500"
"1987","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.325"
"1987","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","77097672.000"
"1987","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1986","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.100"
"1986","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","116.300"
"1986","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","29.600"
"1986","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.325"
"1986","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","77175083.000"
"1986","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1985","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.030"
"1985","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","114.500"
"1985","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","31.600"
"1985","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.325"
"1985","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","76693928.000"
"1985","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.165"
"1984","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.990"
"1984","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","113.000"
"1984","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","32.800"
"1984","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.325"
"1984","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","72144256.000"
"1984","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.160"
"1983","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.908"
"1983","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","116.300"
"1983","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","35.200"
"1983","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.320"
"1983","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","73371489.000"
"1983","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.160"
"1982","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.844"
"1982","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","119.100"
"1982","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","38.400"
"1982","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.240"
"1982","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","74641962.000"
"1982","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.160"
"1981","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.731"
"1981","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","119.600"
"1981","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","32.800"
"1981","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.240"
"1981","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","72852874.000"
"1981","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.160"
"1980","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.688"
"1980","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","123.200"
"1980","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","34.900"
"1980","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.240"
"1980","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","55701205.000"
"1980","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.120"
"1979","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.606"
"1979","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","121.400"
"1979","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.300"
"1979","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.200"
"1979","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","54496057.000"
"1979","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.120"
"1978","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.568"
"1978","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","123.000"
"1978","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","35.200"
"1978","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.200"
"1978","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","54460929.000"
"1978","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.120"
"1977","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.551"
"1977","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","117.100"
"1977","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","36.300"
"1977","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.200"
"1977","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","51516608.000"
"1977","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.120"
"1976","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.501"
